countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k
JPN,Japan,Yen,1950,242641,236383,84,39,2030 ,2,197565,232640,237889,236721,783678,,,,272826,235080,239893,790521,,,,1,0,0,361,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,
JPN,Japan,Yen,1951,270003,261289,86,40,2013 ,2,204018,259746,267093,263308,825068,,,,297235,250696,283883,833484,,,,1,0,0,361,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,
JPN,Japan,Yen,1952,295355,287845,87,41,1996 ,2,240755,290563,293861,292239,857562,,,,333983,292525,304925,865192,,,,1,0,0,361,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,
JPN,Japan,Yen,1953,309857,300714,88,42,1979 ,2,263200,311566,309160,307397,885546,,,,356372,323101,326520,893952,,,,1,0,0,360,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,
JPN,Japan,Yen,1954,329297,316636,89,43,2009 ,2,273008,327063,327731,323044,920438,0,0,0,374102,336550,346707,929572,0,0,0,1,0,0,360,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
JPN,Japan,Yen,1955,356846,341860,90,44,2035 ,2,287834,349750,355148,348957,965033,0,0,0,400389,357804,376478,974815,0,0,0,1,0,0,360,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
JPN,Japan,Yen,1956,380807,365173,91,45,2085 ,2,303035,375910,378190,372289,1021960,0,0,0,430394,382958,411597,1030793,0,1,0,1,0,0,360,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
JPN,Japan,Yen,1957,406116,390844,92,46,2108 ,3,319304,408417,403790,398755,1094025,0,0,0,464033,407545,455550,1103742,0,1,1,1,0,0,360,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
JPN,Japan,Yen,1958,442322,419249,93,46,2133 ,3,338095,429680,440877,431091,1162791,0,0,0,492859,431921,476997,1173897,0,1,1,1,0,0,360,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
JPN,Japan,Yen,1959,486262,458716,94,47,2156 ,3,362920,472702,483221,470749,1249161,0,0,0,539262,467332,530402,1261520,0,1,1,1,0,0,360,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
JPN,Japan,Yen,1960,550783,517906,95,48,2173 ,3,400384,542735,549353,528217,1374002,0,0,0,609690,513016,618929,1387968,0,1,1,1,0,0,360,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
JPN,Japan,Yen,1961,610857,574585,95,49,2175 ,3,442298,614792,608256,586466,1535518,0,0,1,681957,561498,714277,1550042,0,1,1,1,0,0,360,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
JPN,Japan,Yen,1962,670683,629682,96,49,2153 ,3,477562,660344,665347,645800,1704006,0,0,1,740583,603885,770690,1720351,0,1,1,1,0,0,360,0,0,0,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,1,0,0,0,0,0,0,0,0,0,0,0,1
